unique_id,win_odds,win,win_return
20175504021110,21.9,0,0.0
2017550423074,11.8,0,0.0
2017550506083,11.7,0,0.0
2017550521103,17.1,0,0.0
2017550604117,116.6,0,0.0
2017550617092,97.6,0,0.0
2017550701083,115.8,0,0.0
2017550717097,45.8,0,0.0
2017550801119,34.5,0,0.0
20175510011011,21.5,0,0.0
2017551015102,27.1,0,0.0
2017551111102,35.3,0,0.0
2017551125105,229.7,0,0.0
2015550301053,71.2,0,0.0
2015550314068,3.3,1,3.3
20155503220610,9.7,0,0.0
2015550412077,4.5,0,0.0
2015550503068,6.7,0,0.0
2015550510068,4.6,0,0.0
2015550523064,7.7,0,0.0
2015550607083,5.3,1,5.3
2015550628065,23.4,0,0.0
2015550711068,23.2,0,0.0
2015550720072,12.3,0,0.0
2015550808059,12.2,0,0.0
2015550816063,29.3,0,0.0
2015550829116,12.8,0,0.0
2015550307013,34.4,0,0.0
2015550329014,52.6,0,0.0
2015550418012,145.6,0,0.0
2015550502034,132.0,0,0.0
2015550516018,216.1,0,0.0
2015550530027,186.0,0,0.0
2015550614023,56.5,0,0.0
2015550628013,30.3,0,0.0
2015550712016,49.4,0,0.0
2015550726035,54.0,0,0.0
2015550809034,69.1,0,0.0
2015550823046,48.8,0,0.0
2015550905021,28.8,0,0.0
2015550919027,40.4,0,0.0
2015550926048,59.7,0,0.0
20155510110110,149.5,0,0.0
2015551018013,59.7,0,0.0
2015551025085,83.3,0,0.0
2015551101033,73.4,0,0.0
2015551115054,256.0,0,0.0
2015551128042,53.9,0,0.0
2015551205049,61.7,0,0.0
2015551220034,50.7,0,0.0
2015551226021,141.6,0,0.0
2016550102077,49.7,0,0.0
2016550116057,42.7,0,0.0
2016550207047,70.1,0,0.0
2016550221037,28.1,0,0.0
2016550228028,118.9,0,0.0
2016550313022,74.2,0,0.0
2016550319018,19.4,0,0.0
2016550402025,4.4,1,4.4
2016550409052,15.2,0,0.0
2016550423044,4.0,0,0.0
2016550508037,18.9,0,0.0
2016550522021,21.6,1,21.6
2016550605042,19.7,0,0.0
2016550618055,14.7,0,0.0
20165507030611,23.4,0,0.0
2016550716054,26.0,0,0.0
2016550730053,4.7,1,4.7
2016550814066,12.3,0,0.0
2016550828058,9.4,0,0.0
2016550911053,6.7,0,0.0
2016550925073,9.8,0,0.0
2016551008079,18.7,0,0.0
2016551022065,6.5,1,6.5
2016551106087,8.7,0,0.0
2016551120083,4.2,0,0.0
2016551126045,20.7,0,0.0
2016551210064,44.1,0,0.0
2016551224029,7.7,0,0.0
2017550103085,84.1,0,0.0
2017550114078,42.1,0,0.0
2017550128056,38.9,0,0.0
2017550205051,78.7,0,0.0
2017550212051,82.2,0,0.0
2017550219065,5.7,0,0.0
2017550305056,16.4,0,0.0
2017550312041,23.7,0,0.0
2017550325044,28.8,0,0.0
2017550401038,36.2,0,0.0
2017550415048,23.8,0,0.0
2017550422031,7.3,0,0.0
2017550507023,3.1,0,0.0
2017550520038,10.7,0,0.0
2017550528043,25.3,0,0.0
2017550603036,31.5,0,0.0
20175506110211,12.2,0,0.0
2017550617054,209.9,0,0.0
2017550702036,115.2,0,0.0
2017550717016,29.0,0,0.0
2017550723011,10.4,0,0.0
2017550730058,34.9,0,0.0
2017550812037,24.1,0,0.0
20175508200110,22.5,0,0.0
2017550923083,9.4,0,0.0
2017551008064,81.0,0,0.0
2017551015023,25.5,0,0.0
2017551022029,103.4,0,0.0
2017551104016,24.9,0,0.0
2017551119013,258.9,0,0.0
2017551203012,180.0,0,0.0
2017551209019,26.6,0,0.0
2017551216106,36.0,0,0.0
2018550103021,4.9,0,0.0
2018550113027,41.6,0,0.0
20185501200210,107.5,0,0.0
2018550204016,8.0,0,0.0
20185502110110,31.9,0,0.0
2018550217045,11.1,0,0.0
2018550224051,31.9,0,0.0
2018550304011,90.5,0,0.0
2018550311014,15.2,0,0.0
2018550318011,17.8,0,0.0
2018550325019,15.7,0,0.0
2018550407028,9.5,0,0.0
2018550421025,2.9,0,0.0
2018550428054,7.0,0,0.0
2018550505022,8.9,0,0.0
2018550520027,15.4,0,0.0
2018550605019,3.8,0,0.0
2018550619038,22.9,0,0.0
2018550629036,2.7,1,2.7
2018550716047,13.4,0,0.0
2018550731044,6.2,0,0.0
2018550812043,10.7,0,0.0
2018550825054,16.4,0,0.0
2018550909042,3.7,0,0.0
2018550923059,11.0,0,0.0
2018551020052,48.2,0,0.0
